Position,R2
R2_1,Novak Djokovic (SRB) [1]
R2_2,Alexei Popyrin (AUS)
R2_3,Yannick Hanfmann (GER)
R2_4,Tomas Martin Etcheverry (ARG) [30]
R2_5,Adrian Mannarino (FRA) [20]
R2_6,Jaume Munar (ESP)
R2_7,Christopher O'Connell (AUS)
R2_8,Ben Shelton (USA) [16]
R2_9,Taylor Fritz (USA) [12]
R2_10,Roberto Carballes Baena (ESP)
R2_11,Fabian Marozsan (HUN)
R2_12,Francisco Cerundolo (ARG) [22]
R2_13,Lorenzo Musetti (ITA) [25]
R2_14,Luca Van Assche (FRA)
R2_15,Jordan Thompson (AUS)
R2_16,Stefanos Tsitsipas (GRE) [7]
R2_17,Jannik Sinner (ITA) [4]
R2_18,Pedro Cachin (ARG)
R2_19,Jason Kubler (AUS) [WC]
R2_20,Sebastian Baez (ARG) [26]
R2_21,Frances Tiafoe (USA) [17]
R2_22,Tomas Machac (CZE)
R2_23,Alejandro Tabilo (CHI)
R2_24,Karen Khachanov (RUS) [15]
R2_25,Alex de Minaur (AUS) [10]
R2_26,Matteo Arnaldi (ITA)
R2_27,Pavel Kotov (RUS)
R2_28,Nicolas Jarry (CHI) [18]
R2_29,Sebastian Korda (USA) [29]
R2_30,Quentin Halys (FRA)
R2_31,Christopher Eubanks (USA)
R2_32,Andrey Rublev (RUS) [5]
R2_33,Holger Rune (DEN) [8]
R2_34,Arthur Cazaux (FRA) [WC]
R2_35,Arthur Fils (FRA)
R2_36,Roman Safiullin (RUS)
R2_37,Ugo Humbert (FRA) [21]
R2_38,Zhizhen Zhang (CHN)
R2_39,Denis Shapovalov (CAN)
R2_40,Hubert Hurkacz (POL) [9]
R2_41,Grigor Dimitrov (BUL) [13]
R2_42,Thanasi Kokkinakis (AUS)
R2_43,Nuno Borges (POR)
R2_44,Alejandro Davidovich Fokina (ESP) [23]
R2_45,Felix Auger-Aliassime (CAN) [27]
R2_46,Alexandre Muller (FRA)
R2_47,Emil Ruusuvuori (FIN)
R2_48,Daniil Medvedev (RUS) [3]
R2_49,Alexander Zverev (GER) [6]
R2_50,Soonwoo Kwon (KOR)
R2_51,Alex Michelsen (USA)
R2_52,Jiri Lehecka (CZE) [32]
R2_53,Cameron Norrie (GBR) [19]
R2_54,Dusan Lajovic (SRB)
R2_55,Max Purcell (AUS)
R2_56,Casper Ruud (NOR) [11]
R2_57,Tommy Paul (USA) [14]
R2_58,Jack Draper (GBR)
R2_59,Miomir Kecmanovic (SRB)
R2_60,Jan-Lennard Struff (GER) [24]
R2_61,Alexander Bublik (KAZ) [31]
R2_62,Mackenzie McDonald (USA)
R2_63,Lorenzo Sonego (ITA)
R2_64,Carlos Alcaraz (ESP) [2]
